5 PIC1,1000,PIC1,5
4 PIC1,100,PIC1,4
3 PIC1,50,PIC1,3
5 PIC2,800,PIC2,5
4 PIC2,100,PIC2,4
3 PIC2,35,PIC2,3
5 PIC3,800,PIC3,5
4 PIC3,100,PIC3,4
3 PIC3,30,PIC3,3
5 PIC4,300,PIC4,5
4 PIC4,50,PIC4,4
3 PIC4,20,PIC4,3
5 PIC5_G,500,PIC5_G,5
4 PIC5_G,75,PIC5_G,4
3 PIC5_G,30,PIC5_G,3
5 ACEs,200,ACE,5
4 ACEs,30,ACE,4
3 ACEs,10,ACE,3
5 KINGs,200,KING,5
4 KINGs,20,KING,4
3 KINGs,10,KING,3
5 QUEENs,100,QUEEN,5
4 QUEENs,15,QUEEN,4
3 QUEENs,10,QUEEN,3
5 JACKs,100,JACK,5
4 JACKs,15,JACK,4
3 JACKs,10,JACK,3
5 TENs,100,TEN,5
4 TENs,15,TEN,4
3 TENs,5,TEN,3
5 NINEs,100,NINE,5
4 NINEs,10,NINE,4
3 NINEs,5,NINE,3
3 SCATs,5,SCAT,3
4 SCATs,10,SCAT,4
5 SCATs,50,SCAT,5
